symbol;date;price
Burundi;1960-01-01;285,4389
Burundi;1961-01-01;241,4969
Burundi;1962-01-01;258,4122
Burundi;1963-01-01;263,9156
Burundi;1964-01-01;274,7366
Burundi;1965-01-01;279,3511
Burundi;1966-01-01;285,2215
Burundi;1967-01-01;316,3888
Burundi;1968-01-01;307,5325
Burundi;1969-01-01;296,2108
Burundi;1970-01-01;352,6487
Burundi;1971-01-01;357,1077
Burundi;1972-01-01;330,5256
Burundi;1973-01-01;349,8202
Burundi;1974-01-01;343,3435
Burundi;1975-01-01;340,6529
Burundi;1976-01-01;360,8847
Burundi;1977-01-01;393,5536
Burundi;1978-01-01;380,4920
Burundi;1979-01-01;377,0901
Burundi;1980-01-01;371,1120
Burundi;1981-01-01;405,5952
Burundi;1982-01-01;390,9485
Burundi;1983-01-01;394,8518
Burundi;1984-01-01;384,8926
Burundi;1985-01-01;418,4960
Burundi;1986-01-01;420,0801
Burundi;1987-01-01;430,8199
Burundi;1988-01-01;440,1017
Burundi;1989-01-01;434,4117
Burundi;1990-01-01;438,7125
Burundi;1991-01-01;450,2076
Burundi;1992-01-01;445,1050
Burundi;1993-01-01;409,2340
Burundi;1994-01-01;386,8280
Burundi;1995-01-01;350,9510
Burundi;1996-01-01;318,9820
Burundi;1997-01-01;310,7302
Burundi;1998-01-01;322,1519
Burundi;1999-01-01;314,7476
Burundi;2000-01-01;306,5845
Burundi;2001-01-01;305,8545
Burundi;2002-01-01;310,9453
Burundi;2003-01-01;298,0252
Burundi;2004-01-01;302,6821
Burundi;2005-01-01;295,7372
Burundi;2006-01-01;301,7906
Burundi;2007-01-01;302,1071
Burundi;2008-01-01;306,5074
Burundi;2009-01-01;307,9043
Burundi;2010-01-01;313,3118
Burundi;2011-01-01;315,6569
Burundi;2012-01-01;319,4385
Burundi;2013-01-01;324,8287
Burundi;2014-01-01;328,1472
Burundi;2015-01-01;305,5496
Burundi;2016-01-01;294,2188
Burundi;2017-01-01;286,4315
Burundi;2018-01-01;281,9702
Burundi;2019-01-01;278,3194
Burundi;2020-01-01;270,6914
Finland;1960-01-01;11420,6996
Finland;1961-01-01;12202,7851
Finland;1962-01-01;12481,5026
Finland;1963-01-01;12800,7136
Finland;1964-01-01;13396,5680
Finland;1965-01-01;14060,0182
Finland;1966-01-01;14339,7910
Finland;1967-01-01;14571,6696
Finland;1968-01-01;14840,5178
Finland;1969-01-01;16273,6524
Finland;1970-01-01;17121,7437
Finland;1971-01-01;17503,1861
Finland;1972-01-01;18745,2391
Finland;1973-01-01;19940,8064
Finland;1974-01-01;20478,7013
Finland;1975-01-01;20755,9881
Finland;1976-01-01;20764,7785
Finland;1977-01-01;20756,3676
Finland;1978-01-01;21301,1445
Finland;1979-01-01;22759,9523
Finland;1980-01-01;23911,9961
Finland;1981-01-01;24123,5386
Finland;1982-01-01;24734,3476
Finland;1983-01-01;25353,6569
Finland;1984-01-01;26035,0415
Finland;1985-01-01;26846,7948
Finland;1986-01-01;27497,1395
Finland;1987-01-01;28399,4517
Finland;1988-01-01;29794,3588
Finland;1989-01-01;31197,2093
Finland;1990-01-01;31267,3749
Finland;1991-01-01;29266,5914
Finland;1992-01-01;28143,7690
Finland;1993-01-01;27822,5112
Finland;1994-01-01;28800,7188
Finland;1995-01-01;29900,8706
Finland;1996-01-01;30895,8727
Finland;1997-01-01;32755,2026
Finland;1998-01-01;34451,1332
Finland;1999-01-01;35876,5746
Finland;2000-01-01;37869,1588
Finland;2001-01-01;38769,1780
Finland;2002-01-01;39335,5680
Finland;2003-01-01;40028,2039
Finland;2004-01-01;41505,4799
Finland;2005-01-01;42513,5190
Finland;2006-01-01;44056,3097
Finland;2007-01-01;46194,0598
Finland;2008-01-01;46339,9806
Finland;2009-01-01;42395,0448
Finland;2010-01-01;43546,0562
Finland;2011-01-01;44448,9385
Finland;2012-01-01;43619,7030
Finland;2013-01-01;43027,6896
Finland;2014-01-01;42693,7481
Finland;2015-01-01;42784,6984
Finland;2016-01-01;43861,3239
Finland;2017-01-01;45155,4660
Finland;2018-01-01;45610,5793
Finland;2019-01-01;46172,5675
Finland;2020-01-01;44773,2011
Saudi Arabia;1960-01-01;
Saudi Arabia;1961-01-01;
Saudi Arabia;1962-01-01;
Saudi Arabia;1963-01-01;
Saudi Arabia;1964-01-01;
Saudi Arabia;1965-01-01;
Saudi Arabia;1966-01-01;
Saudi Arabia;1967-01-01;
Saudi Arabia;1968-01-01;13739,0061
Saudi Arabia;1969-01-01;14016,7927
Saudi Arabia;1970-01-01;21336,2569
Saudi Arabia;1971-01-01;24599,0710
Saudi Arabia;1972-01-01;28856,9706
Saudi Arabia;1973-01-01;34129,1314
Saudi Arabia;1974-01-01;37741,1333
Saudi Arabia;1975-01-01;32680,6940
Saudi Arabia;1976-01-01;36612,5603
Saudi Arabia;1977-01-01;37275,9769
Saudi Arabia;1978-01-01;33535,9435
Saudi Arabia;1979-01-01;35516,1570
Saudi Arabia;1980-01-01;35380,4703
Saudi Arabia;1981-01-01;33898,2651
Saudi Arabia;1982-01-01;25215,5193
Saudi Arabia;1983-01-01;19879,5181
Saudi Arabia;1984-01-01;17857,5293
Saudi Arabia;1985-01-01;15248,7627
Saudi Arabia;1986-01-01;16969,6531
Saudi Arabia;1987-01-01;15129,5745
Saudi Arabia;1988-01-01;16403,8935
Saudi Arabia;1989-01-01;15700,2418
Saudi Arabia;1990-01-01;17453,4124
Saudi Arabia;1991-01-01;19427,8579
Saudi Arabia;1992-01-01;19606,3988
Saudi Arabia;1993-01-01;18815,7739
Saudi Arabia;1994-01-01;18452,2250
Saudi Arabia;1995-01-01;18070,4019
Saudi Arabia;1996-01-01;18162,0467
Saudi Arabia;1997-01-01;18009,3143
Saudi Arabia;1998-01-01;18178,0492
Saudi Arabia;1999-01-01;17137,7203
Saudi Arabia;2000-01-01;17690,6677
Saudi Arabia;2001-01-01;17032,3631
Saudi Arabia;2002-01-01;16094,7061
Saudi Arabia;2003-01-01;17384,8004
Saudi Arabia;2004-01-01;18219,8638
Saudi Arabia;2005-01-01;18683,3838
Saudi Arabia;2006-01-01;18669,6203
Saudi Arabia;2007-01-01;18496,3312
Saudi Arabia;2008-01-01;19117,9357
Saudi Arabia;2009-01-01;18202,6992
Saudi Arabia;2010-01-01;18568,3699
Saudi Arabia;2011-01-01;19813,2589
Saudi Arabia;2012-01-01;20249,8045
Saudi Arabia;2013-01-01;20175,5580
Saudi Arabia;2014-01-01;20327,6750
Saudi Arabia;2015-01-01;20627,9269
Saudi Arabia;2016-01-01;20503,3818
Saudi Arabia;2017-01-01;19946,9554
Saudi Arabia;2018-01-01;20067,7787
Saudi Arabia;2019-01-01;19801,8742
Saudi Arabia;2020-01-01;18691,2474
Russia;1960-01-01;
Russia;1961-01-01;
Russia;1962-01-01;
Russia;1963-01-01;
Russia;1964-01-01;
Russia;1965-01-01;
Russia;1966-01-01;
Russia;1967-01-01;
Russia;1968-01-01;
Russia;1969-01-01;
Russia;1970-01-01;
Russia;1971-01-01;
Russia;1972-01-01;
Russia;1973-01-01;
Russia;1974-01-01;
Russia;1975-01-01;
Russia;1976-01-01;
Russia;1977-01-01;
Russia;1978-01-01;
Russia;1979-01-01;
Russia;1980-01-01;
Russia;1981-01-01;
Russia;1982-01-01;
Russia;1983-01-01;
Russia;1984-01-01;
Russia;1985-01-01;
Russia;1986-01-01;
Russia;1987-01-01;
Russia;1988-01-01;
Russia;1989-01-01;9883,4042
Russia;1990-01-01;9570,8083
Russia;1991-01-01;9061,7598
Russia;1992-01-01;7737,4814
Russia;1993-01-01;7070,5352
Russia;1994-01-01;6183,9049
Russia;1995-01-01;5928,9564
Russia;1996-01-01;5714,6260
Russia;1997-01-01;5804,2148
Russia;1998-01-01;5505,6973
Russia;1999-01-01;5876,2029
Russia;2000-01-01;6491,0722
Russia;2001-01-01;6851,1136
Russia;2002-01-01;7206,1895
Russia;2003-01-01;7767,4050
Russia;2004-01-01;8360,2516
Russia;2005-01-01;8929,3011
Russia;2006-01-01;9693,1978
Russia;2007-01-01;10535,1258
Russia;2008-01-01;11087,8211
Russia;2009-01-01;10219,8942
Russia;2010-01-01;10674,9958
Russia;2011-01-01;11125,3446
Russia;2012-01-01;11553,5764
Russia;2013-01-01;11731,3818
Russia;2014-01-01;11608,7586
Russia;2015-01-01;11355,2363
Russia;2016-01-01;11356,4000
Russia;2017-01-01;11550,5252
Russia;2018-01-01;11875,7332
Russia;2019-01-01;12122,6073
Russia;2020-01-01;11786,6213
Switzerland;1960-01-01;
Switzerland;1961-01-01;
Switzerland;1962-01-01;
Switzerland;1963-01-01;
Switzerland;1964-01-01;
Switzerland;1965-01-01;
Switzerland;1966-01-01;
Switzerland;1967-01-01;
Switzerland;1968-01-01;
Switzerland;1969-01-01;
Switzerland;1970-01-01;
Switzerland;1971-01-01;
Switzerland;1972-01-01;
Switzerland;1973-01-01;
Switzerland;1974-01-01;
Switzerland;1975-01-01;
Switzerland;1976-01-01;
Switzerland;1977-01-01;
Switzerland;1978-01-01;
Switzerland;1979-01-01;
Switzerland;1980-01-01;59887,0204
Switzerland;1981-01-01;60514,0544
Switzerland;1982-01-01;59373,7415
Switzerland;1983-01-01;59497,5210
Switzerland;1984-01-01;61067,7822
Switzerland;1985-01-01;63032,2992
Switzerland;1986-01-01;63870,5947
Switzerland;1987-01-01;64476,9843
Switzerland;1988-01-01;66102,6730
Switzerland;1989-01-01;68410,0813
Switzerland;1990-01-01;70199,3239
Switzerland;1991-01-01;68692,5025
Switzerland;1992-01-01;67909,6011
Switzerland;1993-01-01;67209,1660
Switzerland;1994-01-01;67522,1500
Switzerland;1995-01-01;67394,9716
Switzerland;1996-01-01;67429,3907
Switzerland;1997-01-01;68793,5596
Switzerland;1998-01-01;70691,9467
Switzerland;1999-01-01;71583,6867
Switzerland;2000-01-01;74013,0564
Switzerland;2001-01-01;74705,1554
Switzerland;2002-01-01;74138,0835
Switzerland;2003-01-01;73555,5996
Switzerland;2004-01-01;75112,8674
Switzerland;2005-01-01;76784,6373
Switzerland;2006-01-01;79367,9002
Switzerland;2007-01-01;81804,8618
Switzerland;2008-01-01;82997,6922
Switzerland;2009-01-01;80262,4856
Switzerland;2010-01-01;82026,7245
Switzerland;2011-01-01;82677,5990
Switzerland;2012-01-01;82800,0741
Switzerland;2013-01-01;83344,5234
Switzerland;2014-01-01;84348,3928
Switzerland;2015-01-01;84776,1422
Switzerland;2016-01-01;85570,3961
Switzerland;2017-01-01;86119,1454
Switzerland;2018-01-01;87980,6707
Switzerland;2019-01-01;88413,1917
Switzerland;2020-01-01;85681,9668
China;1960-01-01;238,2166
China;1961-01-01;175,0234
China;1962-01-01;163,9068
China;1963-01-01;176,4001
China;1964-01-01;203,6875
China;1965-01-01;232,6068
China;1966-01-01;250,3045
China;1967-01-01;229,8759
China;1968-01-01;214,7697
China;1969-01-01;244,3635
China;1970-01-01;283,5849
China;1971-01-01;295,3796
China;1972-01-01;299,1904
China;1973-01-01;315,1291
China;1974-01-01;315,8161
China;1975-01-01;337,3435
China;1976-01-01;326,9489
China;1977-01-01;346,9385
China;1978-01-01;381,0987
China;1979-01-01;404,5959
China;1980-01-01;430,8546
China;1981-01-01;447,1190
China;1982-01-01;480,3105
China;1983-01-01;524,4084
China;1984-01-01;596,2001
China;1985-01-01;667,1274
China;1986-01-01;716,1041
China;1987-01-01;786,8635
China;1988-01-01;861,1920
China;1989-01-01;883,7626
China;1990-01-01;905,0309
China;1991-01-01;975,4612
China;1992-01-01;1100,6442
China;1993-01-01;1239,1272
China;1994-01-01;1384,9277
China;1995-01-01;1520,0268
China;1996-01-01;1653,4309
China;1997-01-01;1787,7638
China;1998-01-01;1909,6190
China;1999-01-01;2038,2029
China;2000-01-01;2193,8930
China;2001-01-01;2359,5682
China;2002-01-01;2557,8871
China;2003-01-01;2797,1717
China;2004-01-01;3061,8278
China;2005-01-01;3390,7102
China;2006-01-01;3800,7591
China;2007-01-01;4319,0238
China;2008-01-01;4711,6351
China;2009-01-01;5128,8951
China;2010-01-01;5647,0588
China;2011-01-01;6156,8286
China;2012-01-01;6608,7071
China;2013-01-01;7086,8741
China;2014-01-01;7574,6799
China;2015-01-01;8066,9426
China;2016-01-01;8572,8821
China;2017-01-01;9117,3377
China;2018-01-01;9688,4669
China;2019-01-01;10228,2928
China;2020-01-01;10430,7300
