symbol,date,value,income
Burundi,1962,70,LIC
Burundi,1963,80,LIC
Burundi,1964,80,LIC
Burundi,1965,70,LIC
Burundi,1966,60,LIC
Burundi,1967,50,LIC
Burundi,1968,50,LIC
Burundi,1969,50,LIC
Burundi,1970,70,LIC
Burundi,1971,70,LIC
Burundi,1972,70,LIC
Burundi,1973,80,LIC
Burundi,1974,100,LIC
Burundi,1975,110,LIC
Burundi,1976,120,LIC
Burundi,1977,140,LIC
Burundi,1978,150,LIC
Burundi,1979,180,LIC
Burundi,1980,220,LIC
Burundi,1981,250,LIC
Burundi,1982,240,LIC
Burundi,1983,230,LIC
Burundi,1984,220,LIC
Burundi,1985,240,LIC
Burundi,1986,250,LIC
Burundi,1987,260,LIC
Burundi,1988,250,LIC
Burundi,1989,230,LIC
Burundi,1990,220,LIC
Burundi,1991,220,LIC
Burundi,1992,210,LIC
Burundi,1993,180,LIC
Burundi,1994,160,LIC
Burundi,1995,150,LIC
Burundi,1996,140,LIC
Burundi,1997,150,LIC
Burundi,1998,150,LIC
Burundi,1999,140,LIC
Burundi,2000,130,LIC
Burundi,2001,130,LIC
Burundi,2002,130,LIC
Burundi,2003,120,LIC
Burundi,2004,120,LIC
Burundi,2005,140,LIC
Burundi,2006,150,LIC
Burundi,2007,170,LIC
Burundi,2008,190,LIC
Burundi,2009,200,LIC
Burundi,2010,220,LIC
Burundi,2011,230,LIC
Burundi,2012,250,LIC
Burundi,2013,260,LIC
Burundi,2014,260,LIC
Burundi,2015,260,LIC
Burundi,2016,260,LIC
Burundi,2017,260,LIC
Burundi,2018,250,LIC
Burundi,2019,240,LIC
Burundi,2020,230,LIC
China,1962,70,MIC
China,1963,80,MIC
China,1964,90,MIC
China,1965,100,MIC
China,1966,110,MIC
China,1967,100,MIC
China,1968,90,MIC
China,1969,110,MIC
China,1970,120,MIC
China,1971,130,MIC
China,1972,130,MIC
China,1973,160,MIC
China,1974,180,MIC
China,1975,200,MIC
China,1976,190,MIC
China,1977,190,MIC
China,1978,200,MIC
China,1979,210,MIC
China,1980,220,MIC
China,1981,220,MIC
China,1982,220,MIC
China,1983,220,MIC
China,1984,250,MIC
China,1985,290,MIC
China,1986,310,MIC
China,1987,320,MIC
China,1988,330,MIC
China,1989,320,MIC
China,1990,330,MIC
China,1991,350,MIC
China,1992,390,MIC
China,1993,420,MIC
China,1994,470,MIC
China,1995,540,MIC
China,1996,650,MIC
China,1997,750,MIC
China,1998,800,MIC
China,1999,860,MIC
China,2000,940,MIC
China,2001,1010,MIC
China,2002,1110,MIC
China,2003,1280,MIC
China,2004,1510,MIC
China,2005,1760,MIC
China,2006,2060,MIC
China,2007,2510,MIC
China,2008,3100,MIC
China,2009,3680,MIC
China,2010,4340,MIC
China,2011,5040,MIC
China,2012,5910,MIC
China,2013,6740,MIC
China,2014,7470,MIC
China,2015,7890,MIC
China,2016,8210,MIC
China,2017,8670,MIC
China,2018,9540,MIC
China,2019,10310,MIC
China,2020,10550,MIC
Finland,1962,1370,HIC
Finland,1963,1470,HIC
Finland,1964,1620,HIC
Finland,1965,1810,HIC
Finland,1966,1970,HIC
Finland,1967,2060,HIC
Finland,1968,2090,HIC
Finland,1969,2270,HIC
Finland,1970,2460,HIC
Finland,1971,2690,HIC
Finland,1972,3170,HIC
Finland,1973,4030,HIC
Finland,1974,5130,HIC
Finland,1975,6320,HIC
Finland,1976,6840,HIC
Finland,1977,7190,HIC
Finland,1978,7910,HIC
Finland,1979,9540,HIC
Finland,1980,11450,HIC
Finland,1981,11980,HIC
Finland,1982,11700,HIC
Finland,1983,10840,HIC
Finland,1984,10790,HIC
Finland,1985,11130,HIC
Finland,1986,13010,HIC
Finland,1987,16480,HIC
Finland,1988,21540,HIC
Finland,1989,24110,HIC
Finland,1990,26000,HIC
Finland,1991,25100,HIC
Finland,1992,24170,HIC
Finland,1993,20680,HIC
Finland,1994,20170,HIC
Finland,1995,22030,HIC
Finland,1996,24970,HIC
Finland,1997,26680,HIC
Finland,1998,25820,HIC
Finland,1999,26040,HIC
Finland,2000,26450,HIC
Finland,2001,25810,HIC
Finland,2002,25550,HIC
Finland,2003,28720,HIC
Finland,2004,35270,HIC
Finland,2005,40170,HIC
Finland,2006,42800,HIC
Finland,2007,46160,HIC
Finland,2008,50070,HIC
Finland,2009,48800,HIC
Finland,2010,49600,HIC
Finland,2011,50150,HIC
Finland,2012,48940,HIC
Finland,2013,49480,HIC
Finland,2014,49390,HIC
Finland,2015,47150,HIC
Finland,2016,45500,HIC
Finland,2017,44790,HIC
Finland,2018,48160,HIC
Finland,2019,49950,HIC
Finland,2020,49780,HIC
Russia,1991,3440,MIC
Russia,1992,3090,MIC
Russia,1993,2920,MIC
Russia,1994,2650,MIC
Russia,1995,2640,MIC
Russia,1996,2600,MIC
Russia,1997,2650,MIC
Russia,1998,2130,MIC
Russia,1999,1750,MIC
Russia,2000,1710,MIC
Russia,2001,1780,MIC
Russia,2002,2100,MIC
Russia,2003,2590,MIC
Russia,2004,3410,MIC
Russia,2005,4450,MIC
Russia,2006,5810,MIC
Russia,2007,7560,MIC
Russia,2008,9580,MIC
Russia,2009,9230,MIC
Russia,2010,9980,MIC
Russia,2011,11060,MIC
Russia,2012,13490,MIC
Russia,2013,15190,MIC
Russia,2014,14630,MIC
Russia,2015,11780,MIC
Russia,2016,9730,MIC
Russia,2017,9210,MIC
Russia,2018,10250,MIC
Russia,2019,11250,MIC
Russia,2020,10690,MIC
Switzerland,1995,46740,HIC
Switzerland,1996,49730,HIC
Switzerland,1997,49340,HIC
Switzerland,1998,46200,HIC
Switzerland,1999,44280,HIC
Switzerland,2000,44680,HIC
Switzerland,2001,42110,HIC
Switzerland,2002,40760,HIC
Switzerland,2003,46780,HIC
Switzerland,2004,55200,HIC
Switzerland,2005,63080,HIC
Switzerland,2006,65590,HIC
Switzerland,2007,64480,HIC
Switzerland,2008,65260,HIC
Switzerland,2009,72470,HIC
Switzerland,2010,79850,HIC
Switzerland,2011,82280,HIC
Switzerland,2012,87770,HIC
Switzerland,2013,91700,HIC
Switzerland,2014,89400,HIC
Switzerland,2015,87960,HIC
Switzerland,2016,84420,HIC
Switzerland,2017,81880,HIC
Switzerland,2018,83280,HIC
Switzerland,2019,84260,HIC
Switzerland,2020,82620,HIC
Uganda,1984,180,LIC
Uganda,1985,200,LIC
Uganda,1986,250,LIC
Uganda,1987,310,LIC
Uganda,1988,400,LIC
Uganda,1989,400,LIC
Uganda,1990,320,LIC
Uganda,1991,250,LIC
Uganda,1992,190,LIC
Uganda,1993,180,LIC
Uganda,1994,180,LIC
Uganda,1995,230,LIC
Uganda,1996,280,LIC
Uganda,1997,300,LIC
Uganda,1998,290,LIC
Uganda,1999,290,LIC
Uganda,2000,270,LIC
Uganda,2001,250,LIC
Uganda,2002,250,LIC
Uganda,2003,260,LIC
Uganda,2004,280,LIC
Uganda,2005,310,LIC
Uganda,2006,350,LIC
Uganda,2007,390,LIC
Uganda,2008,430,LIC
Uganda,2009,550,LIC
Uganda,2010,680,LIC
Uganda,2011,850,LIC
Uganda,2012,830,LIC
Uganda,2013,800,LIC
Uganda,2014,820,LIC
Uganda,2015,830,LIC
Uganda,2016,800,LIC
Uganda,2017,740,LIC
Uganda,2018,750,LIC
Uganda,2019,790,LIC
Uganda,2020,800,LIC
